# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/N/slate/amsaini/reference_genome/hsa.gff3" "-t" "miRNA,miRNA_primary_transcript" "-g" "Name" "-o" "/N/slate/amsaini/assignment_2/counts/all_samples_miRNA_count.txt" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269872_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269873_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269874_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269875_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269876_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269877_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269878_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269879_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269880_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269881_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269882_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269883_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269872_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269873_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269874_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269875_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269876_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269877_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269878_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269879_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269880_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269881_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269882_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269883_sorted.bam
hsa-mir-6727	chr1	1312502	1312566	-	65	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-5p	chr1	1312539	1312561	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-3p	chr1	1312502	1312521	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6808	chr1	1339650	1339708	-	59	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6808-5p	chr1	1339682	1339703	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6808-3p	chr1	1339650	1339670	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4251	chr1	3127975	3128035	+	61	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4251	chr1	3128009	3128025	+	17	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-551a	chr1	3560695	3560790	-	96	0	0	1	2	4	0	3	11	5	2	1	1
hsa-miR-551a	chr1	3560710	3560730	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4689	chr1	5862672	5862741	-	70	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4689	chr1	5862711	5862732	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4252	chr1	6429834	6429896	-	63	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4252	chr1	6429844	6429862	-	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6728	chr1	8866502	8866590	-	89	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-5p	chr1	8866563	8866585	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-3p	chr1	8866502	8866522	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-34a	chr1	9151668	9151777	-	110	0	0	1	1	0	0	1	2	0	0	0	0
hsa-miR-34a-5p	chr1	9151735	9151756	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34a-3p	chr1	9151693	9151714	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5697	chr1	9967381	9967458	+	78	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5697	chr1	9967390	9967411	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6729	chr1	12029158	12029222	+	65	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6729-5p	chr1	12029163	12029184	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6729-3p	chr1	12029202	12029222	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7846	chr1	12166943	12167038	+	96	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7846-3p	chr1	12167010	12167030	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4632	chr1	12191713	12191773	+	61	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4632-3p	chr1	12191752	12191773	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4632-5p	chr1	12191713	12191735	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6730	chr1	12578957	12579023	-	67	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6730-5p	chr1	12578996	12579018	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6730-3p	chr1	12578958	12578979	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3675	chr1	16858949	16859021	-	73	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3675-5p	chr1	16858988	16859010	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3675-3p	chr1	16858958	16858979	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3972	chr1	17277889	17277975	+	87	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3972	chr1	17277948	17277969	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4695	chr1	18883202	18883275	-	74	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-5p	chr1	18883250	18883271	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	chr1	18883204	18883225	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1290	chr1	18897071	18897148	-	78	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1290	chr1	18897078	18897096	-	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6084	chr1	20633679	20633788	+	110	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6084	chr1	20633756	20633775	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1256	chr1	20988314	20988432	-	119	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1256	chr1	20988377	20988398	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4418	chr1	22266239	22266300	+	62	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4418	chr1	22266277	22266294	+	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6127	chr1	22633258	22633366	-	109	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6127	chr1	22633328	22633346	-	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4684	chr1	22719517	22719598	+	82	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-5p	chr1	22719530	22719551	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-3p	chr1	22719566	22719587	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4253	chr1	22863159	22863226	-	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4253	chr1	22863169	22863186	-	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3115	chr1	23044305	23044372	+	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3115	chr1	23044310	23044329	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-378f	chr1	23929070	23929147	+	78	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378f	chr1	23929121	23929140	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6731	chr1	24919345	24919416	-	72	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-5p	chr1	24919390	24919411	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-3p	chr1	24919345	24919365	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4425	chr1	25023503	25023586	+	84	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4425	chr1	25023552	25023573	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3917	chr1	25906362	25906454	-	93	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3917	chr1	25906384	25906403	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1976	chr1	26554542	26554593	+	52	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-1976	chr1	26554574	26554593	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4420	chr1	30739156	30739232	-	77	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4420	chr1	30739158	30739179	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4254	chr1	31758660	31758735	-	76	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4254	chr1	31758670	31758692	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5585	chr1	32086949	32087007	+	59	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-5p	chr1	32086949	32086970	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-3p	chr1	32086986	32087007	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3605	chr1	33332393	33332492	-	100	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3605-5p	chr1	33332449	33332471	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3605-3p	chr1	33332405	33332427	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-552	chr1	34669599	34669694	-	96	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-552-3p	chr1	34669614	34669634	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-552-5p	chr1	34669650	34669670	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4255	chr1	37161563	37161634	+	72	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4255	chr1	37161573	37161589	+	17	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6732	chr1	37480230	37480289	+	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-5p	chr1	37480235	37480254	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-3p	chr1	37480267	37480289	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5581	chr1	37500935	37500994	-	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5581-5p	chr1	37500973	37500994	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5581-3p	chr1	37500935	37500956	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3659	chr1	38089231	38089329	+	99	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3659	chr1	38089289	38089309	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-30e	chr1	40754355	40754446	+	92	3	0	1	0	0	2	3	1	4	0	1	0
hsa-miR-30e-5p	chr1	40754371	40754392	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30e-3p	chr1	40754413	40754434	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-30c-1	chr1	40757284	40757372	+	89	1	0	1	2	1	0	0	0	2	4	1	2
hsa-miR-30c-5p	chr1;chr6	40757300;71377003	40757322;71377025	+;-	46	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-1-3p	chr1	40757339	40757360	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6733	chr1	43171652	43171712	-	61	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6733-5p	chr1	43171686	43171707	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6733-3p	chr1	43171652	43171671	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6734	chr1	43364648	43364715	-	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6734-5p	chr1	43364688	43364710	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6734-3p	chr1	43364648	43364670	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6735	chr1	43448539	43448611	+	73	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6735-5p	chr1	43448544	43448568	+	25	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6735-3p	chr1	43448590	43448611	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6079	chr1	43838622	43838683	+	62	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6079	chr1	43838657	43838680	+	24	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5584	chr1	44545493	44545552	+	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5584-5p	chr1	44545493	44545514	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5584-3p	chr1	44545531	44545552	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4421	chr1	51059837	51059905	+	69	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4421	chr1	51059879	51059900	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6500	chr1	51060018	51060103	+	86	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6500-5p	chr1	51060031	51060054	+	24	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6500-3p	chr1	51060072	51060092	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-761	chr1	51836344	51836402	-	59	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-761	chr1	51836375	51836396	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4781	chr1	54054079	54054154	+	76	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-5p	chr1	54054091	54054111	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-3p	chr1	54054124	54054145	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4422	chr1	55225641	55225723	+	83	0	0	0	0	0	0	0	3	0	1	0	0
hsa-miR-4422	chr1	55225656	55225676	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4711	chr1	59733227	59733296	-	70	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-5p	chr1	59733269	59733291	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	chr1	59733235	59733252	-	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-12132	chr1	61846075	61846176	+	102	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12132	chr1	61846140	61846161	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3116-1	chr1	62078786	62078859	+	74	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3116	chr1;chr1	62078794;62078830	62078815;62078851	-;+	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3116-2	chr1	62078789	62078856	-	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6068	chr1	63326925	63326984	-	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6068	chr1	63326964	63326984	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4794	chr1	64579847	64579923	+	77	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4794	chr1	64579855	64579876	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3671	chr1	65057755	65057842	-	88	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3671	chr1	65057762	65057783	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-101-1	chr1	65058434	65058508	-	75	1	0	3	1	3	0	2	9	0	1	2	2
hsa-miR-101-5p	chr1	65058477	65058498	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-101-3p	chr1;chr9	65058442;4850345	65058462;4850365	-;+	42	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3117	chr1	66628440	66628517	+	78	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-3p	chr1	66628485	66628505	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-5p	chr1	66628452	66628471	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1262	chr1	68183518	68183610	-	93	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1262	chr1	68183576	68183597	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-186	chr1	71067631	71067716	-	86	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-186-5p	chr1	71067681	71067702	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-186-3p	chr1	71067642	71067663	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7156	chr1	77060143	77060202	+	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7156-5p	chr1	77060143	77060165	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7156-3p	chr1	77060180	77060202	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4423	chr1	85133794	85133873	+	80	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4423-5p	chr1	85133806	85133827	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4423-3p	chr1	85133842	85133862	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7856	chr1	86357632	86357687	-	56	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7856-5p	chr1	86357665	86357685	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-760	chr1	93846832	93846911	+	80	2	1	1	1	1	0	2	1	0	0	0	0
hsa-miR-760	chr1	93846880	93846899	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-12133	chr1	94543702	94543779	+	78	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12133	chr1	94543754	94543775	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-2682	chr1	98045242	98045351	-	110	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	chr1	98045307	98045329	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	chr1	98045271	98045292	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-137	chr1	98046070	98046171	-	102	0	0	0	0	0	0	0	1	0	1	0	2
hsa-miR-137-3p	chr1	98046091	98046113	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-137-5p	chr1	98046127	98046149	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-553	chr1	100281241	100281308	+	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-553	chr1	100281256	100281276	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7852	chr1	107897223	107897304	+	82	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7852-3p	chr1	107897282	107897303	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-197	chr1	109598893	109598967	+	75	25	16	28	15	23	10	42	36	34	39	16	6
hsa-miR-197-3p	chr1	109598940	109598961	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-197-5p	chr1	109598901	109598923	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4256	chr1	112461770	112461833	-	64	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4256	chr1	112461806	112461823	-	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-11399	chr1	112882050	112882129	+	80	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11399	chr1	112882060	112882081	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548ac	chr1	116560024	116560111	-	88	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ac	chr1	116560038	116560059	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-320b-1	chr1	116671746	116671817	+	72	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-320b	chr1;chr1	116671787;224257049	116671808;224257070	+;-	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-942	chr1	117094643	117094728	+	86	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-942-5p	chr1	117094655	117094676	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-942-3p	chr1	117094695	117094716	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6736	chr1	145850587	145850645	-	59	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-5p	chr1	145850620	145850640	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-3p	chr1	145850587	145850607	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5087	chr1	148334479	148334554	-	76	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5087	chr1	148334522	148334544	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6077	chr1	148388282	148388363	+	82	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-6077	chr1	148388294	148388314	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6878	chr1	150492345	150492410	+	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6878-5p	chr1	150492350	150492372	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6878-3p	chr1	150492390	150492410	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4257	chr1	150551929	150552014	+	86	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4257	chr1	150551987	150552004	+	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-554	chr1	151545796	151545891	+	96	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-554	chr1	151545811	151545831	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-8083	chr1	153689705	153689793	-	89	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8083	chr1	153689763	153689783	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6737	chr1	153962351	153962420	-	70	0	0	0	0	0	0	0	0	0	0	0	0
